benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy
ep_annihilation,1000,sequential,0,0,true,0.000045,1000,22.304,0,1.0000,1.0000,0.0000,5242880,0,0,0,0,1000,0,0,0,5242880,5242880,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,1,true,0.000038,1000,26.128,0,1.0000,1.0000,0.0000,5242880,0,0,0,0,1000,0,0,0,5242880,5242880,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,2,true,0.000038,1000,26.150,0,1.0000,1.0000,0.0000,5242880,0,0,0,0,1000,0,0,0,5242880,5242880,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,3,true,0.000028,1000,35.221,0,1.0000,1.0000,0.0000,5242880,0,0,0,0,1000,0,0,0,5242880,5242880,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,4,true,0.000028,1000,35.485,0,1.0000,1.0000,0.0000,5242880,0,0,0,0,1000,0,0,0,5242880,5242880,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,0,true,0.000359,1000,2.788,1,0.1066,0.0533,0.9036,5505024,0,0,0,0,1000,0,0,0,5242880,5505024,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,1,true,0.000456,1000,2.195,1,0.0840,0.0420,0.9062,5505024,0,0,0,0,1000,0,0,0,5242880,5505024,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,2,true,0.000454,1000,2.201,1,0.0842,0.0421,0.8682,5505024,0,0,0,0,1000,0,0,0,5242880,5505024,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,3,true,0.000439,1000,2.280,1,0.0872,0.0436,0.9059,5505024,0,0,0,0,1000,0,0,0,5242880,5505024,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,4,true,0.000466,1000,2.145,1,0.0820,0.0410,0.8371,5505024,0,0,0,0,1000,0,0,0,5242880,5505024,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,0,true,0.000402,1000,2.487,1,0.0951,0.0238,0.9005,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,1,true,0.000366,1000,2.732,1,0.1045,0.0261,0.8947,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,2,true,0.000361,1000,2.768,1,0.1059,0.0265,0.8937,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,3,true,0.000369,1000,2.713,1,0.1037,0.0259,0.8973,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,4,true,0.000361,1000,2.772,1,0.1060,0.0265,0.8958,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,0,true,0.000657,1000,1.523,1,0.0582,0.0073,0.9235,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,1,true,0.000546,1000,1.831,1,0.0700,0.0088,0.9115,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,2,true,0.000506,1000,1.975,1,0.0755,0.0094,0.9041,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,3,true,0.000545,1000,1.835,1,0.0702,0.0088,0.9095,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,4,true,0.000514,1000,1.945,1,0.0744,0.0093,0.9024,5636096,0,0,0,0,1000,0,0,0,5242880,5636096,2000,2000,dense,10000,disable-under-delta
